x_axis,y_axis,z_axis
-133.0,45.0,-84.0
-133.0,46.0,-84.0
-133.0,46.0,-84.0
-132.0,46.0,-83.0
-132.0,46.0,-83.0
-133.0,47.0,-84.0
-133.0,47.0,-84.0
-133.0,47.0,-84.0
-134.0,47.0,-84.0
-134.0,47.0,-85.0
-133.0,47.0,-84.0
-133.0,47.0,-83.0
-133.0,46.0,-84.0
-133.0,46.0,-84.0
-133.0,46.0,-84.0
-133.0,46.0,-85.0
-133.0,46.0,-84.0
-133.0,45.0,-84.0
-133.0,45.0,-85.0
-132.0,45.0,-84.0
-133.0,45.0,-84.0
-133.0,45.0,-84.0
-133.0,45.0,-84.0
-132.0,46.0,-84.0
-132.0,46.0,-84.0
-132.0,45.0,-83.0
-133.0,46.0,-84.0
-133.0,45.0,-84.0
-132.0,44.0,-83.0
-132.0,45.0,-84.0
-133.0,45.0,-84.0
-133.0,44.0,-83.0
-132.0,45.0,-84.0
-132.0,45.0,-84.0
-132.0,45.0,-83.0
-132.0,45.0,-84.0
-132.0,46.0,-85.0
-132.0,46.0,-83.0
-132.0,46.0,-83.0
-133.0,46.0,-84.0
-133.0,46.0,-84.0
-133.0,46.0,-84.0
-133.0,46.0,-84.0
-133.0,46.0,-84.0
-133.0,45.0,-84.0
-133.0,45.0,-84.0
-133.0,45.0,-84.0
-133.0,44.0,-84.0
-133.0,44.0,-84.0
-133.0,44.0,-84.0
-134.0,44.0,-84.0
-157.0,95.0,-86.0
-146.0,61.0,-123.0
-145.0,61.0,-121.0
-145.0,59.0,-119.0
-144.0,59.0,-117.0
-144.0,58.0,-116.0
-144.0,58.0,-115.0
-143.0,57.0,-114.0
-143.0,57.0,-112.0
-143.0,57.0,-111.0
-143.0,56.0,-109.0
-143.0,55.0,-108.0
-144.0,59.0,-111.0
-142.0,61.0,-182.0
-139.0,59.0,-307.0
-133.0,61.0,-465.0
-126.0,58.0,-616.0
-117.0,53.0,-781.0
-98.0,30.0,-1047.0
-90.0,22.0,-1233.0
-90.0,37.0,-1367.0
-84.0,25.0,-1432.0
-78.0,23.0,-1546.0
-73.0,22.0,-1663.0
-80.0,55.0,-1698.0
-76.0,45.0,-1710.0
-75.0,42.0,-1686.0
-78.0,44.0,-1638.0
-78.0,45.0,-1605.0
-79.0,45.0,-1585.0
-80.0,46.0,-1545.0
-80.0,43.0,-1497.0
-81.0,42.0,-1446.0
-84.0,43.0,-1386.0
-84.0,43.0,-1343.0
-86.0,44.0,-1296.0
-87.0,44.0,-1250.0
-93.0,41.0,-1199.0
-94.0,42.0,-1150.0
-98.0,42.0,-1092.0
-101.0,42.0,-1035.0
-105.0,42.0,-959.0
-106.0,44.0,-899.0
-107.0,44.0,-864.0
-108.0,42.0,-830.0
-112.0,43.0,-728.0
-119.0,42.0,-534.0
-130.0,49.0,-263.0
-142.0,59.0,25.0
-154.0,63.0,305.0
-163.0,61.0,520.0
-169.0,60.0,706.0
-175.0,60.0,868.0
-185.0,72.0,1040.0
-188.0,63.0,1198.0
-192.0,63.0,1307.0
-192.0,53.0,1398.0
-197.0,56.0,1448.0
-212.0,101.0,1485.0
-211.0,99.0,1450.0
-209.0,95.0,1437.0
-203.0,85.0,1381.0
-201.0,86.0,1317.0
-192.0,85.0,1136.0
-184.0,90.0,838.0
-170.0,81.0,591.0
-158.0,77.0,285.0
-151.0,78.0,41.0
-135.0,59.0,-189.0
-123.0,50.0,-510.0
-106.0,46.0,-880.0
-96.0,45.0,-1132.0
-84.0,42.0,-1401.0
-74.0,37.0,-1624.0
-67.0,35.0,-1781.0
-62.0,25.0,-1847.0
-62.0,25.0,-1829.0
-68.0,29.0,-1707.0
-79.0,27.0,-1443.0
-95.0,42.0,-1074.0
-113.0,55.0,-627.0
-138.0,60.0,-62.0
-158.0,71.0,397.0
-180.0,68.0,898.0
-194.0,69.0,1222.0
-199.0,76.0,1391.0
-201.0,71.0,1452.0
-202.0,71.0,1474.0
